Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Japan,JPN,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.74238616904232
Japan,JPN,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.87124396418894
Japan,JPN,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.20630372220914
Japan,JPN,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.23330585516314
Japan,JPN,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.40351657814238
Japan,JPN,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.73517346493524
Japan,JPN,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.68392282262269
Japan,JPN,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.64206127159012
Japan,JPN,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.7750032526997
Japan,JPN,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.92415637807909
Japan,JPN,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.01557333421853
Japan,JPN,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.09948122042995
Japan,JPN,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.05813737484608
Japan,JPN,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.18274319690768
Japan,JPN,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.2068393264808
Japan,JPN,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.31104310975785
Japan,JPN,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.3254666911116
Japan,JPN,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.23162416473773
Japan,JPN,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.22348106254592
Japan,JPN,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.25137087087074
Japan,JPN,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.27762127793716
Japan,JPN,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.24384101364639
Japan,JPN,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.0160037393887
Japan,JPN,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.99219592963809
Japan,JPN,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.91785542506093
Japan,JPN,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.03147197449383
Japan,JPN,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,1992,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,1991,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,1990,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Japan,JPN,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,1991,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,1990,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Japan,JPN,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,1999,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,1998,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,1997,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,1996,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,1995,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,1994,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,1993,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,1992,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,1991,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,1990,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,2015,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,33.1527356254335
Japan,JPN,2014,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,32.7419341069205
Japan,JPN,2013,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,32.925870522337
Japan,JPN,2012,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,29.7220792101697
Japan,JPN,2011,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,27.099953182867
Japan,JPN,2010,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,27.1551421674573
Japan,JPN,2009,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,27.172727774767
Japan,JPN,2008,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,27.230002606411
Japan,JPN,2007,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,27.3459656058852
Japan,JPN,2006,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,26.5865640229904
Japan,JPN,2005,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,27.2263617165398
Japan,JPN,2004,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,26.4586798229097
Japan,JPN,2003,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,26.3775463005791
Japan,JPN,2002,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,24.6199260505556
Japan,JPN,2001,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,23.3847802106528
Japan,JPN,2000,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,21.4842127320116
Japan,JPN,1999,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,19.9133287076183
Japan,JPN,1998,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,18.2411819916988
Japan,JPN,1997,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,18.1552371374614
Japan,JPN,1996,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,17.3724593181803
Japan,JPN,1995,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,16.7534658842568
Japan,JPN,1994,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,15.8526524044855
Japan,JPN,1993,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,15.3065857872341
Japan,JPN,1992,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,14.3721710547332
Japan,JPN,1991,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,13.8258090797186
Japan,JPN,1990,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,13.4897777451788
Japan,JPN,1989,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,14.8115436224699
Japan,JPN,1988,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,14.8441123594004
Japan,JPN,1987,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,15.0822357579336
Japan,JPN,1986,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,14.6129362960137
Japan,JPN,1985,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,14.8939711308796
Japan,JPN,1984,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,14.088557088655
Japan,JPN,1983,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,12.7107774840818
Japan,JPN,1982,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,11.6259499510985
Japan,JPN,1981,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,10.8203682385623
Japan,JPN,1980,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,9.59511362703504
Japan,JPN,1979,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,8.60098404346192
Japan,JPN,1978,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,8.49773742676219
Japan,JPN,1977,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,8.93078767065064
Japan,JPN,1976,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,8.63327231987881
Japan,JPN,1975,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,8.94375097749955
Japan,JPN,1974,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,8.70089457652043
Japan,JPN,1973,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,8.01483496530844
Japan,JPN,1972,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,9.77214000469814
Japan,JPN,1971,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,11.8568816923479
Japan,JPN,1970,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,16.9391206313416
Japan,JPN,1969,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,22.0314735336195
Japan,JPN,1968,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,29.3804008089722
Japan,JPN,1967,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,32.8205128205128
Japan,JPN,1966,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,28.8573423318594
Japan,JPN,1965,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,27.8458570162173
Japan,JPN,1964,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,29.3248592295256
Japan,JPN,1963,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,33.4437707070076
Japan,JPN,1962,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,33.048433048433
Japan,JPN,1961,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,28.5389856169569
Japan,JPN,1960,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,32.2077922077922
Japan,JPN,2015,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,80.2593729534245
Japan,JPN,2014,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,82.7927298114346
Japan,JPN,2013,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,81.5973536309712
Japan,JPN,2012,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,81.1471732826566
Japan,JPN,2011,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,73.8295018675662
Japan,JPN,2010,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,61.9706437533331
Japan,JPN,2009,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,63.0592988003209
Japan,JPN,2008,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,64.4951418132811
Japan,JPN,2007,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,64.5405086722242
Japan,JPN,2006,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,61.184129626861
Japan,JPN,2005,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,61.3793591974251
Japan,JPN,2004,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,62.1600948518031
Japan,JPN,2003,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,65.1558770745065
Japan,JPN,2002,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,61.3733677588116
Japan,JPN,2001,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,59.0198464619617
Japan,JPN,2000,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,58.0224833929484
Japan,JPN,1999,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,57.1614777193165
Japan,JPN,1998,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,54.22360183211
Japan,JPN,1997,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,54.3285839308471
Japan,JPN,1996,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,54.0132297483875
Japan,JPN,1995,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,54.0521915510538
Japan,JPN,1994,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,54.9619707094423
Japan,JPN,1993,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,53.7871203442628
Japan,JPN,1992,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,55.4366971688792
Japan,JPN,1991,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,54.8177385393554
Japan,JPN,1990,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,54.8577342225207
Japan,JPN,1989,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,63.1478483277371
Japan,JPN,1988,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,61.8092991238212
Japan,JPN,1987,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,61.0078946888617
Japan,JPN,1986,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,60.7235242227732
Japan,JPN,1985,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,61.6601768372315
Japan,JPN,1984,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,66.0399559188571
Japan,JPN,1983,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,65.8195419211188
Japan,JPN,1982,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,66.4319508427306
Japan,JPN,1981,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,69.6161826441211
Japan,JPN,1980,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,69.9958604861571
Japan,JPN,1979,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,74.02603614993
Japan,JPN,1978,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,76.7001570534197
Japan,JPN,1977,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,80.1789293331142
Japan,JPN,1976,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,76.7513096853599
Japan,JPN,1975,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,77.0407020243223
Japan,JPN,1974,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,77.574533454711
Japan,JPN,1973,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,83.5074894657565
Japan,JPN,1972,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,77.7777777777778
Japan,JPN,1971,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,75.9206059023244
Japan,JPN,1970,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,77.4520856820744
Japan,JPN,1969,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,75.6954379271976
Japan,JPN,1968,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,72.6236440522155
Japan,JPN,1967,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,71.6307692307692
Japan,JPN,1966,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,62.7879916220619
Japan,JPN,1965,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,60.3326902018042
Japan,JPN,1964,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,61.6602553381279
Japan,JPN,1963,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,56.8856660623867
Japan,JPN,1962,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,55.5555555555556
Japan,JPN,1961,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,48.5238455715367
Japan,JPN,1960,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,49.3506493506493
Japan,JPN,2015,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,8.22909281286162
Japan,JPN,2014,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.75888972257293
Japan,JPN,2013,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.37094939904584
Japan,JPN,2012,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.14401986689784
Japan,JPN,2011,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.74362826265622
Japan,JPN,2010,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.21117410952368
Japan,JPN,2009,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.19751321874745
Japan,JPN,2008,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,6.94267984463247
Japan,JPN,2007,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,6.41662223262629
Japan,JPN,2006,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.74286237496495
Japan,JPN,2005,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,6.77106161426997
Japan,JPN,2004,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,8.27935153368374
Japan,JPN,2003,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,8.55908527447316
Japan,JPN,2002,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.37726764404984
Japan,JPN,2001,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.67652861433134
Japan,JPN,2000,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.83371259047948
Japan,JPN,1999,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.90098347945536
Japan,JPN,1998,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,8.61639790054014
Japan,JPN,1997,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,8.41054950791482
Japan,JPN,1996,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.71715696808944
Japan,JPN,1995,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,8.01676706837351
Japan,JPN,1994,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,6.73957837358596
Japan,JPN,1993,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,10.2105906977711
Japan,JPN,1992,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,8.8821032757107
Japan,JPN,1991,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,10.5693998763501
Japan,JPN,1990,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,9.9583179093171
Japan,JPN,1989,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,11.5588678127973
Japan,JPN,1988,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,12.0688111102943
Japan,JPN,1987,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,10.4888984882421
Japan,JPN,1986,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,12.0422468052642
Japan,JPN,1985,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,12.4259867064703
Japan,JPN,1984,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,11.1317320500685
Japan,JPN,1983,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,13.7164871938437
Japan,JPN,1982,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,14.1012659102769
Japan,JPN,1981,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,15.0952305454646
Japan,JPN,1980,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,15.4213483636694
Japan,JPN,1979,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,13.7942050773909
Japan,JPN,1978,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,12.5583571782018
Japan,JPN,1977,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,13.7839058051914
Japan,JPN,1976,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,16.4874396440181
Japan,JPN,1975,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,17.6279626161904
Japan,JPN,1974,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,18.0928538916705
Japan,JPN,1973,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,14.3489182121546
